lon_min,lat_min,lon_max,lat_max,value,geometry,_merge
33.5,-14.25,33.75,-14.0,204.98800611530064,,left_only
33.75,-14.25,34.0,-14.0,319.72353287468445,,left_only
34.0,-14.25,34.25,-14.0,130.4366993431306,,left_only
34.25,-14.25,34.5,-14.0,106.70179675117596,,left_only
34.5,-14.25,34.75,-14.0,51.34001983762164,,left_only
34.75,-14.25,35.0,-14.0,42.69163096231216,,left_only
35.0,-14.25,35.25,-14.0,43.654929901138416,,left_only
35.25,-14.25,35.5,-14.0,62.91169391126334,,left_only
35.5,-14.25,35.75,-14.0,48.93342144455619,,left_only
35.75,-14.25,36.0,-14.0,26.130038344722607,,left_only
37.0,-14.25,37.25,-14.0,11.584998647522411,,left_only
37.75,-14.25,38.0,-14.0,20.918393126503474,,left_only
38.25,-14.25,38.5,-14.0,18.794980140421444,,left_only
38.5,-14.25,38.75,-14.0,18.0016637253201,,left_only
38.75,-14.25,39.0,-14.0,20.256679677313286,,left_only
39.0,-14.25,39.25,-14.0,20.07829419417624,,left_only
39.25,-14.25,39.5,-14.0,36.16665507308471,,left_only
39.5,-14.25,39.75,-14.0,51.2766591524744,,left_only
39.75,-14.25,40.0,-14.0,59.34505532754167,,left_only
40.0,-14.25,40.25,-14.0,41.23663064066045,,left_only
40.25,-14.25,40.5,-14.0,39.77002426061995,,left_only
40.5,-14.25,40.75,-14.0,39.80004087787347,,left_only
15.75,-14.0,16.0,-13.75,12.785012559820755,,left_only
28.25,-14.0,28.5,-13.75,12.99990089586845,,left_only
28.5,-14.0,28.75,-13.75,54.82675958712662,,left_only
28.75,-14.0,29.0,-13.75,32.328304198889214,,left_only
29.0,-14.0,29.25,-13.75,32.58167119688221,,left_only
29.25,-14.0,29.5,-13.75,35.02172753329285,,left_only
29.5,-14.0,29.75,-13.75,16.040028511813944,,left_only
31.25,-14.0,31.5,-13.75,18.62831029601682,,left_only
31.5,-14.0,31.75,-13.75,23.058299947695215,,left_only
31.75,-14.0,32.0,-13.75,32.496608225974114,,left_only
32.0,-14.0,32.25,-13.75,44.98990377262794,,left_only
32.25,-14.0,32.5,-13.75,57.618273153924406,,left_only
32.5,-14.0,32.75,-13.75,65.49833103657386,,left_only
32.75,-14.0,33.0,-13.75,80.71656159458166,,left_only
33.0,-14.0,33.25,-13.75,107.18663454824582,,left_only
33.25,-14.0,33.5,-13.75,131.0164538162578,,left_only
33.5,-14.0,33.75,-13.75,225.4962118094479,,left_only
33.75,-14.0,34.0,-13.75,316.1737568859553,,left_only
34.0,-14.0,34.25,-13.75,101.07004512906748,,left_only
34.25,-14.0,34.5,-13.75,110.05852769859814,,left_only
34.5,-14.0,34.75,-13.75,50.203455238390006,,left_only
34.75,-14.0,35.0,-13.75,25.06164216965533,,left_only
35.0,-14.0,35.25,-13.75,28.131617737231068,,left_only
35.25,-14.0,35.5,-13.75,33.34502578490185,,left_only
35.5,-14.0,35.75,-13.75,21.090009832908663,,left_only
35.75,-14.0,36.0,-13.75,10.886668469970118,,left_only
37.0,-14.0,37.25,-13.75,22.93669410502457,,left_only
37.25,-14.0,37.5,-13.75,10.88335579064983,,left_only
37.75,-14.0,38.0,-13.75,13.600041736895037,,left_only
38.5,-14.0,38.75,-13.75,24.95333135822557,,left_only
38.75,-14.0,39.0,-13.75,28.55006041580032,,left_only
39.0,-14.0,39.25,-13.75,17.971617565426754,,left_only
39.25,-14.0,39.5,-13.75,29.851546801304835,,left_only
39.5,-14.0,39.75,-13.75,61.53831523442807,,left_only
39.75,-14.0,40.0,-13.75,76.67013117992224,,left_only
40.0,-14.0,40.25,-13.75,43.441720061730734,,left_only
40.25,-14.0,40.5,-13.75,27.40169154991679,,left_only
40.5,-14.0,40.75,-13.75,13.855057688888223,,left_only
15.75,-13.75,16.0,-13.5,19.4166798491176,,left_only
16.0,-13.75,16.25,-13.5,14.573352570281711,,left_only
23.0,-13.75,23.25,-13.5,25.89178829270179,,left_only
24.0,-13.75,24.25,-13.5,18.8350234235553,,left_only
24.25,-13.75,24.5,-13.5,21.38009266339532,,left_only
25.75,-13.75,26.0,-13.5,18.753416550058773,,left_only
27.75,-13.75,28.0,-13.5,13.786676285140857,,left_only
28.0,-13.75,28.25,-13.5,17.47833679009284,,left_only
28.25,-13.75,28.5,-13.5,18.264913971102143,,left_only
28.5,-13.75,28.75,-13.5,31.87169494208922,,left_only
28.75,-13.75,29.0,-13.5,18.89665082189072,,left_only
29.0,-13.75,29.25,-13.5,23.10498336078956,,left_only
29.25,-13.75,29.5,-13.5,37.968389218918105,,left_only
29.5,-13.75,29.75,-13.5,18.9950088240397,,left_only
29.75,-13.75,30.0,-13.5,12.315009167648329,,left_only
30.0,-13.75,30.25,-13.5,10.678350702391183,,left_only
31.75,-13.75,32.0,-13.5,16.438293506958985,,left_only
32.0,-13.75,32.25,-13.5,20.53154645769621,,left_only
32.25,-13.75,32.5,-13.5,53.194923632206496,,left_only
32.5,-13.75,32.75,-13.5,88.78334883450066,,left_only
32.75,-13.75,33.0,-13.5,92.53164556182776,,left_only
33.0,-13.75,33.25,-13.5,100.23493737270051,,left_only
33.25,-13.75,33.5,-13.5,115.69810242664936,,left_only
33.5,-13.75,33.75,-13.5,167.73495738212648,,left_only
33.75,-13.75,34.0,-13.5,191.1754353825953,,left_only
34.0,-13.75,34.25,-13.5,91.77992227972892,,left_only
34.25,-13.75,34.5,-13.5,78.50341702155788,,left_only
34.5,-13.75,34.75,-13.5,29.57497198164208,,left_only
34.75,-13.75,35.0,-13.5,15.956644037545855,,left_only
35.0,-13.75,35.25,-13.5,21.94499796030516,,left_only
35.25,-13.75,35.5,-13.5,28.49173092546528,,left_only
35.5,-13.75,35.75,-13.5,10.460021040251831,,left_only
37.0,-13.75,37.25,-13.5,13.10165591014936,,left_only
38.25,-13.75,38.5,-13.5,16.511611296494834,,left_only
38.5,-13.75,38.75,-13.5,41.64166441253735,,left_only
38.75,-13.75,39.0,-13.5,46.2167650409508,,left_only
39.0,-13.75,39.25,-13.5,21.333310146169424,,left_only
39.25,-13.75,39.5,-13.5,18.746548669195363,,left_only
39.5,-13.75,39.75,-13.5,44.08325582749672,,left_only
39.75,-13.75,40.0,-13.5,66.5284024439992,,left_only
40.0,-13.75,40.25,-13.5,33.12504716876231,,left_only
40.25,-13.75,40.5,-13.5,16.671681029790875,,left_only
15.75,-13.5,16.0,-13.25,22.626676113336543,,left_only
16.0,-13.5,16.25,-13.25,20.24004242411229,,left_only
23.0,-13.5,23.25,-13.25,20.5184200920786,,left_only
24.0,-13.5,24.25,-13.25,13.29160313771547,,left_only
24.25,-13.5,24.5,-13.25,27.16673940589635,,left_only
24.5,-13.5,24.75,-13.25,10.048347138414442,,left_only
25.75,-13.5,26.0,-13.25,21.64506142466928,,left_only
27.75,-13.5,28.0,-13.25,10.326640473569114,,left_only
28.0,-13.5,28.25,-13.25,19.91486746760017,,left_only
28.25,-13.5,28.5,-13.25,47.64001545853717,,left_only
28.5,-13.5,28.75,-13.25,66.32022809451155,,left_only
28.75,-13.5,29.0,-13.25,21.215002211499154,,left_only
29.25,-13.5,29.5,-13.25,14.596699514934926,,left_only
29.75,-13.5,30.0,-13.25,12.87493805991778,,left_only
30.0,-13.5,30.25,-13.25,24.728361566125727,,left_only
30.25,-13.5,30.5,-13.25,12.4100249478372,,left_only
31.75,-13.5,32.0,-13.25,17.038364786493844,,left_only
